"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD65ReportonEULATAMTechnologicalPlatformsseminarwithinICT2010v10Final.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRST62dNewslettern4.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRST62bNewslettern2.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD42RegionalLATPVisionv20.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD643ReportonLATPsNationaleventsFirstSemesterYear2v10.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD62fNewslettern6.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD641ReportonLATPsNationaleventsv102.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD41AnalysisofKeyLatAmorganizationsv20.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD31.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD22LATPscountrymatrixv20.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD62eNewslettern5.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRST62cNewslettern3.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/002-FIRSTD531FeedbacktoNationalFIInitiativesAnnualreportPeriod1.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD642ReportonLATPsNationaleventsSecondsemester.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD68Materialfortrainingcourses.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD23ComprehensiveReportonPreliminaryAnalysis30.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD23ComprehensiveReportonPreliminaryAnalysis20.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTSpecialeditionofNewsletterforANDICOM.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD511FeedbacktoECinitiativesandprogrammesAnnualreportPeriod120.pdf";"";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/3/248753/080/deliverables/001-FIRSTD21Nationalreportsv101.pdf";"FIRST (248753) Deliverable D2.1";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-D51final.pdf";"Description of emulation platform architecture and according implementation plans";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/002-D42fin.pdf";"Description of OpenFlow protocol suite extensions";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-SPARCD22.pdf";"Received 31/10/2012";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-D31fin.pdf";"Initial Split Architecture and Open Flow Protocol study";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-SPARCD52final.pdf";"Report on validation and performance evaluation experiments";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-D43revisedfinal.pdf";"Description of implemented architecture";"relatedPrint";"ppm";""
"en";"en,any";"/docs/projects/cnect/7/258457/080/deliverables/001-SPARCD33fin.pdf";"Split Architecture for Large-Scale Wide-Area Networks";"relatedPrint";"ppm";""
