"projectID";"physUrl";"id";"availableLanguages";"status";"archivedDate";"type";"source";"represents"
"247594";"http://ericvanh.pagesperso-orange.fr/symposium2009/Symposium-Irses.html";"09f1959c98d322592e9117f6d68b056b";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"232062";"http://www.pv-servitor.eu";"827cd1cd710c6a8dfc1f6a74d173a750";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"284915";"https://ec.europa.eu/research-and-innovation/en/projects/success-stories/all/future-aviation-electric-possibilities";"2f761ad232f94ec4b040923a22e5144a";"en";"";"";"relatedStory";"rtd";"project"
"284915";"https://arquivo.pt/wayback/20160515030359/http://www.actuation2015.eu/";"e2dad8975d6df79b6a8515073869f30b";"en";"webArchive";"2024-02-02 00:00:00";"relatedWebsite";"editorial";"project"
"284915";"http://www.actuation2015.eu/";"924ca12eeca13d9b0d78d755698386e9";"en";"invalid";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"315239";"http://www.adecoating.dk";"5bed3eaa5a757d85483451be8ac2b4d0";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
"602239";"https://arquivo.pt/url/search?l=en&q=http://atect-fp7.org";"b150e3814acf1342692bd989484a8003";"en";"webArchive";"2023-10-09 00:00:00";"relatedWebsite";"editorial";"project"
"602239";"http://atect-fp7.org";"397320f7d9192b84e2325dceac95205d";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"317259";"http://www.phenorat.eu/";"e44e87868af2b7cb012e698c1ce32109";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"corda";"project"
"317259";"https://arquivo.pt/url/search?l=en&q=http://www.phenorat.eu";"9b3762f3fd9ca2479f55a7126419155d";"en";"webArchive";"2023-10-16 00:00:00";"relatedWebsite";"editorial";"project"
"247516";"http://www.uni-muenster.de/MCGS/members/Goette.html";"53afe3270bcf763d3d13316231a64734";"en";"legacy";"2021-12-03 00:00:00";"relatedWebsite";"sesam";"project"
"315592";"http://www.injectionhotwire.com";"b3c5cafff68baed61f23e833a55a7765";"en";"invalid";"2021-11-16 00:00:00";"relatedWebsite";"sesam";"project"
